Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks,Fund Age (Years)
SBI Nifty Next 50 ETF,Raviprakash Sharma,EQ-ETF,Unrated,3019.5,0.15,Open Ended,2015-03-20,NIFTY NEXT 50 - TRI,730.17,820.82,560.05,-3.42,-11.54,-5.17,28.48,28.52,18.52,20.01,,41.0,50.0,143043.0,88.23,11.76,15.24,Financials,,,,17.99,1.16,1.67,1.14,20.03,Equity : ETFs,,10.0
SBI Nifty Next 50 Index Fund-Reg(G),Raviprakash Sharma,EQ-INDX,Unrated,1494.3,0.78,Open Ended,2021-05-19,NIFTY NEXT 50 - TRI,18.65,21.01,14.4,-3.48,-11.7,-5.51,27.55,27.62,17.7,,,43.0,50.0,143043.0,88.27,11.77,15.24,Financials,,,,16.91,1.12,1.63,1.14,20.06,Equity : Index Funds,0.25% on or before 30D Nil after 30D,4.0
SBI Nifty Private Bank ETF,Harsh Sethi,EQ-ETF,Unrated,166.0,0.15,Open Ended,2020-10-19,Nifty Private Bank - TRI,255.94,276.47,227.2,-1.74,-6.0,-4.84,0.69,7.7,12.33,,,46.0,10.0,417377.0,83.31,13.6,3.08,Financials,,,,-6.8,-0.12,-0.18,1.04,17.01,Equity : ETFs,,5.0
SBI Nifty Smallcap 250 Index Fund-Reg(G),Harsh Sethi,EQ-INDX,Unrated,1247.8,1.01,Open Ended,2022-10-03,Nifty Smallcap 250 - TRI,19.36,20.07,14.58,1.0,-3.53,2.76,25.85,36.39,,,,43.0,250.0,19549.0,55.18,8.01,91.99,Financials,,,,16.91,1.09,1.54,0.96,19.9,Equity : Index Funds,0.25% on or before 30D Nil after 30D,3.0
SBI Nifty50 Equal Weight ETF,Viral Chhadva,EQ-ETF,Unrated,22.3,0.3,Open Ended,2024-07-16,NIFTY50 Equal Weight - TRI,30.17,33.72,29.16,-1.54,-11.57,3.25,11.97,15.99,,,,13.0,50.0,290199.0,96.29,3.66,15.24,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : ETFs,,1.0
SBI Nifty50 Equal Weight Index Fund-Reg(G),Viral Chhadva,EQ-INDX,Unrated,1056.2,1.02,Open Ended,2024-01-31,NIFTY50 Equal Weight - TRI,11.09,12.42,10.0,-1.61,-11.75,-3.14,11.97,15.99,,,,30.0,50.0,290186.0,96.38,3.67,15.24,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 15D Nil after 15D,1.0
SBI Overnight Fund-Reg(G),R. Arun,DT-ON,4,20131.6,0.15,Open Ended,2002-09-24,CRISIL Liquid Overnight Index,4038.63,4038.63,3789.41,0.55,1.6,3.22,6.6,6.58,5.92,4.82,5.61,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,6.66,0.25,32.34,1.9,0.88,0.01,Debt : Overnight,Nil,23.0
SBI PSU Fund-Reg(G),Rohit Shimpi,EQ-THEM,1,4686.1,1.86,Open Ended,2010-07-07,BSE PSU - TRI,30.88,35.15,24.72,-4.54,-9.89,-7.14,22.89,38.06,35.36,23.81,11.51,42.0,25.0,179277.0,69.88,21.13,2.89,Energy,,,,14.34,0.8,1.12,1.36,26.29,Equity : Thematic,0.50% on or before 30D Nil after 30D,15.0
SBI Quant Fund-Reg(G),Sukanya Ghosh,EQ-THEM,Unrated,709.5,1.08,Open Ended,2024-12-26,NIFTY 200 - TRI,10.23,10.23,9.98,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,,,,,4.33,1.34,2.01,0.88,12.37,Equity : Thematic,0.50% on or before 6M Nil after 6M,1.0
SBI Retirement Benefit Fund-Aggressive Hybrid Plan-Reg(G),Rohit Shimpi,HY-SOL,Unrated,1531.6,2.1,Open Ended,2021-02-10,CRISIL Hybrid 35+65 - Aggressive Index,18.42,19.61,16.16,-2.01,-6.02,-2.69,11.17,17.13,13.63,,,0.0,44.0,184118.0,49.35,15.79,14.17,Financials,2.97,0.35,7.05,1.66,0.67,1.0,1.83,10.38,Hybrid : Solution Oriented,Nil,4.0
SBI Retirement Benefit Fund-Aggressive Plan-Reg(G),Rohit Shimpi,HY-SOL,Unrated,2773.6,1.93,Open Ended,2021-02-10,BSE 500 - TRI,19.81,21.42,17.25,-2.53,-7.47,-4.3,11.33,19.02,15.32,,,0.0,44.0,194204.0,63.11,18.69,16.94,Financials,1.05,0.7,6.96,0.83,0.58,0.86,2.24,12.67,Hybrid : Solution Oriented,Nil,4.0
SBI Retirement Benefit Fund-Conservative Hybrid Plan-Reg(G),Rohit Shimpi,HY-SOL,Unrated,275.8,1.67,Open Ended,2021-02-10,CRISIL Hybrid 65+35 - Conservative Index,15.08,15.48,13.64,-0.75,-2.6,0.55,9.6,12.43,9.96,,,0.0,44.0,189880.0,24.1,7.31,6.87,Financials,15.18,7.58,7.21,1.34,0.97,1.47,1.38,5.55,Hybrid : Solution Oriented,Nil,4.0
SBI Retirement Benefit Fund-Conservative Plan-Reg(G),Rohit Shimpi,HY-SOL,Unrated,177.8,1.38,Open Ended,2021-02-10,CRISIL Hybrid 85+15 - Conservative Index,13.76,13.89,12.56,-0.09,-0.97,2.38,9.11,10.18,8.44,,,0.0,44.0,190809.0,11.99,3.63,3.34,Financials,18.32,8.27,7.3,1.34,1.48,2.3,1.2,3.28,Hybrid : Solution Oriented,Nil,4.0
SBI Savings Fund-Reg(G),R. Arun,DT-MM,2,28254.2,0.76,Open Ended,2004-07-14,CRISIL Money Market Index,39.93,39.93,37.25,0.57,1.67,3.46,7.21,7.06,6.14,5.47,6.5,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.45,0.39,7.36,3.02,10.15,20.7,0.03,0.3,Debt : Money Market,Nil,21.0
SBI Short Term Debt Fund-Reg(G),Rajeev Radhakrishnan,DT-SD,3,13354.0,0.85,Open Ended,2007-07-26,CRISIL Short Duration Debt Index,30.71,30.71,28.51,0.5,1.52,3.95,7.68,7.19,5.96,6.06,6.95,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,3.62,2.71,7.57,2.55,5.35,10.83,0.33,0.66,Debt : Short Duration,Nil,18.0
SBI Silver ETF,Vandna Soni,GOLD-ETF,Unrated,503.8,0.42,Open Ended,2024-07-03,Silver,86.9,98.29,78.89,-3.62,-4.49,3.25,11.97,15.99,,,,10.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,Gold : ETFs,,1.0
SBI Silver ETF FOF-Reg(G),Harsh Sethi,FOF-DOM,Unrated,289.6,0.63,Open Ended,2024-07-11,Silver,9.41,10.62,8.67,-3.5,-4.24,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,FoFs : Domestic,1% on or before 15D Nil after 15D,1.0
SBI Small Cap Fund-Reg(G),R. Srinivasan,EQ-SML,2,33285.2,1.57,Open Ended,2009-09-09,BSE 250 Small Cap - TRI,179.93,188.83,142.03,0.31,-5.0,1.31,25.22,25.34,19.44,27.17,19.99,78.0,58.0,15143.0,55.18,5.19,81.18,Financials,,,,16.35,1.38,2.08,0.67,14.2,Equity : Small Cap,1% on or before 1Y Nil after 1Y,16.0
SBI Technology Opp Fund-Reg(G),Vivek Gedda,EQ-TECH,Unrated,4585.7,1.89,Open Ended,2013-01-07,BSE TECk Index - TRI,225.69,233.07,168.43,2.44,3.45,17.97,30.08,27.4,11.17,27.36,17.33,25.0,32.0,156660.0,47.32,13.83,23.74,Technology,,,,20.16,1.59,2.92,0.7,14.9,Equity : Sectoral - Technology,0.50% on or before 15D Nil after 15D,12.0
Shriram Aggressive Hybrid Fund-Reg(G),Deepak Ramaraju,HY-EQ,Unrated,49.1,2.3,Open Ended,2013-12-06,CRISIL Hybrid 35+65 - Aggressive Index,32.15,33.9,27.96,1.28,-5.24,-1.5,13.26,17.35,11.99,12.61,9.44,474.6,41.0,131733.0,37.72,24.48,3.67,Healthcare,3.62,2.93,7.28,3.02,0.73,1.02,2.22,13.13,Hybrid : Equity Oriented,NIL for 12% of units and 1% for remaining units on or before 90D Nil after 90D,12.0
Shriram Balanced Advantage Fund-Reg(G),Deepak Ramaraju,HY-DYN,Unrated,57.9,2.3,Open Ended,2019-07-05,NIFTY 50 Hybrid Composite Debt 50:50 Index,17.51,18.27,15.86,2.05,-4.11,-1.76,9.15,14.49,10.52,10.87,,552.3,21.0,211527.0,46.89,19.05,0.5,Healthcare,3.99,3.26,7.37,-0.4,0.48,0.67,2.11,12.12,Hybrid : Dynamic Asset Allocation,NIL for 12% of units and 1% for remaining units on or before 90D Nil after 90D,6.0
Shriram ELSS Tax Saver Fund-Reg(G),Deepak Ramaraju,EQ-ELSS,Unrated,53.5,2.25,Open Ended,2019-01-25,NIFTY 500 - TRI,23.12,24.37,19.57,1.51,-5.32,-2.45,16.57,21.03,14.52,15.52,,655.7,50.0,100891.0,42.55,32.23,18.92,Healthcare,,,,8.27,0.76,1.06,1.04,17.8,Equity : Tax Saving (ELSS),Nil,6.0
Shriram Flexi Cap Fund-Reg(G),Deepak Ramaraju,EQ-FLEX,Unrated,140.7,2.3,Open Ended,2018-09-28,NIFTY 500 - TRI,22.28,23.65,18.95,1.73,-5.11,-3.03,15.92,21.52,14.92,15.33,,814.5,55.0,86564.0,37.55,33.72,22.13,Healthcare,,,,7.53,0.7,0.99,1.06,18.39,Equity : Flexi Cap,NIL for 12% of units and 1% for remaining units on or before 90D Nil after 90D,7.0
Shriram Liquid Fund-Reg(G),Deepak Ramaraju,DT-LIQ,Unrated,158.2,0.25,Open Ended,2024-11-14,Nifty Liquid Fund Index,1010.09,1010.09,1000.0,0.58,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,4.33,1.34,2.01,0.88,12.37,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D,1.0
Shriram Multi Asset Allocation Fund-Reg(G),Deepak Ramaraju,HY-MULTI,Unrated,160.5,2.3,Open Ended,2023-09-08,NIFTY 50 - TRI,12.38,13.14,11.2,1.01,-4.16,-4.21,8.8,15.99,,,,507.8,41.0,130614.0,36.06,26.51,3.31,Healthcare,2.82,2.41,7.56,-0.38,0.41,0.56,2.04,13.83,Hybrid : Multi Asset Allocation,NIL for 12% of units and 1% for remaining units on or before 90D Nil after 90D,2.0
Shriram Multi Sector Rotation Fund-Reg(G),Deepak Ramaraju,EQ-THEM,Unrated,709.5,2.3,Open Ended,2024-12-09,NIFTY 500 - TRI,10.04,10.06,9.81,0.31,-2.11,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,,,,,4.33,1.34,2.01,0.88,12.37,Equity : Thematic,1% on or before 3M Nil after 3M,1.0
Shriram Nifty 1D Rate Liquid ETF,Deepak Ramaraju,DT-ETF,Unrated,26.5,0.35,Open Ended,2024-07-05,Nifty 1D Rate Index,1030.93,1030.93,1000.0,0.52,1.52,3.25,11.97,15.99,,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,6.66,4.33,1.34,2.01,0.88,12.37,Debt : ETFs,,1.0
Shriram Overnight Fund-Reg(G),Deepak Ramaraju,DT-ON,Unrated,269.8,0.15,Open Ended,2022-08-26,CRISIL Liquid Overnight Index,11.6,11.6,10.89,0.53,1.58,3.19,6.55,6.55,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.01,0.01,6.68,0.23,17.15,1.7,0.88,0.01,Debt : Overnight,Nil,3.0
Sundaram Aggressive Hybrid Fund(G),S. Bharath,HY-EQ,4,5469.4,1.84,Open Ended,2000-01-14,CRISIL Hybrid 35+65 - Aggressive Index,160.3,166.24,134.45,0.37,-4.01,2.88,17.48,17.49,12.57,15.59,12.33,67.3,70.0,209191.0,49.63,13.09,8.93,Financials,6.9,4.68,6.77,7.74,1.24,1.85,1.75,10.33,Hybrid : Equity Oriented,Nil upto 25% of units within 1Y 1% in excess of limit within 1Y Nil after 1Y,25.0
Sundaram Arbitrage Fund(G),Rohit Seksaria,HY-ARB,Unrated,230.5,1.0,Open Ended,2016-04-21,Nifty 50 Arbitrage - TRI,13.99,13.99,13.07,0.62,1.69,3.31,7.16,6.96,5.85,4.42,,82.3,36.0,346753.0,63.99,4.33,0.06,Financials,0.51,,5.53,3.15,2.93,6.63,-0.07,1.0,Hybrid : Arbitrage,Nil upto 25% of units and 0.25% for remaining units on or before 15D Nil after 15D,9.0
Sundaram Balanced Advantage Fund(G),S. Bharath,HY-DYN,1,1539.7,2.08,Open Ended,2010-12-16,NIFTY 50 Hybrid Composite Debt 50:50 Index,34.67,35.67,30.26,-0.02,-3.15,2.56,12.88,13.88,11.19,10.81,7.79,71.8,63.0,310645.0,57.28,10.81,3.74,Financials,7.24,4.85,7.02,4.33,1.04,1.53,1.47,8.37,Hybrid : Dynamic Asset Allocation,Nil upto 25% of units and 1% for remaining units on or before 1Y Nil after 1Y,15.0
Sundaram Banking & PSU Fund(G),Sandeep Agarwal,DT-B&PSU,2,336.0,0.4,Open Ended,2004-12-30,NIFTY Banking and PSU Debt Index,41.18,41.18,38.14,0.52,1.44,4.11,7.93,7.4,5.91,5.63,6.68,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,5.17,3.49,7.3,2.82,5.21,10.75,0.35,0.74,Debt : Banking & PSU,Nil,21.0
Sundaram Business Cycle Fund-Reg(G),Ratish Varier,EQ-THEM,Unrated,1549.5,2.04,Open Ended,2024-06-25,NIFTY 500 - TRI,10.96,11.1,10.0,1.63,-0.93,8.52,11.97,15.99,,,,9.7,44.0,76586.0,36.07,13.27,34.92,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Thematic,1% on or before 365D Nil after 365D,1.0
Sundaram Conservative Hybrid Fund(G),Dwijendra Srivastava,HY-DT(CO),Unrated,27.5,2.14,Open Ended,2010-03-08,CRISIL Hybrid 85+15 - Conservative Index,28.85,29.16,26.51,0.03,-0.93,2.66,8.15,8.71,6.73,8.31,7.11,0.0,26.0,424695.0,18.19,1.93,0.37,Financials,9.8,4.88,6.85,0.66,1.1,1.64,1.13,3.66,Hybrid : Debt Oriented (Conservative),Nil,15.0
Sundaram Consumption Fund(G),Ratish Varier,EQ-CONS,2,1585.7,2.19,Open Ended,2006-05-12,Nifty India Consumption - TRI,100.69,107.41,78.18,0.89,-7.01,7.82,20.8,26.75,20.6,18.81,14.68,27.7,31.0,177209.0,72.49,9.28,13.37,FMCG,,,,12.68,1.32,2.35,0.65,12.11,Equity : Thematic - Consumption,0.50% on or before 30D Nil after 30D,19.0
Sundaram Corp Bond Fund(G),Dwijendra Srivastava,DT-CORP,4,734.9,0.56,Open Ended,2004-12-30,NIFTY Corporate Bond Index,38.4,38.4,35.57,0.49,1.35,4.15,7.93,7.08,5.94,6.41,7.37,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,6.12,4.03,7.3,2.67,4.73,9.22,0.4,0.81,Debt : Corporate Bond,Nil,21.0
Sundaram Diversified Equity(G),Sudhir Kedia,EQ-ELSS,2,1558.0,2.18,Open Ended,2005-05-02,NIFTY 500 - TRI,217.37,229.5,184.4,0.03,-5.29,0.77,12.79,18.18,13.56,15.96,11.7,22.8,63.0,255235.0,72.41,14.51,9.96,Financials,,,,4.44,0.69,1.03,0.89,13.0,Equity : Tax Saving (ELSS),Nil,20.0
Sundaram Dividend Yield Fund(G),Ratish Varier,EQ-DIV,Unrated,941.3,2.26,Open Ended,2004-10-15,NIFTY 500 - TRI,137.78,147.83,116.62,-1.42,-7.31,-0.68,15.75,25.25,16.86,20.27,14.14,51.6,63.0,210685.0,67.75,13.23,13.61,Financials,,,,7.16,0.78,1.11,1.02,15.79,Equity : Thematic - Dividend Yield,Nil upto 24% of units and 1% for remaining units on or before 365D Nil after 365D,21.0
Sundaram ELSS Tax Saver Fund-Reg(G),Sudhir Kedia,EQ-ELSS,4,1355.9,2.22,Open Ended,1996-03-31,NIFTY 500 - TRI,500.84,527.46,412.59,0.05,-5.26,0.83,16.47,20.73,15.31,18.98,13.58,32.2,69.0,159426.0,68.26,14.27,12.74,Financials,,,,7.79,0.93,1.37,0.9,13.31,Equity : Tax Saving (ELSS),Nil,29.0
Sundaram Equity Savings Fund(G),Sudhir Kedia,HY-EQ,3,1004.8,2.19,Open Ended,2002-05-23,NIFTY 50 Equity Savings Index,68.27,68.97,59.75,0.63,-1.24,3.51,12.88,14.08,10.84,12.94,9.44,65.2,57.0,245484.0,49.58,10.95,7.82,Financials,3.58,2.5,6.96,5.75,1.42,2.12,0.91,5.92,Hybrid : Equity Oriented,0.50% on or before 7D,23.0
Sundaram Fin Serv Opp Fund(G),Rohit Seksaria,EQ-FIN,4,1449.8,2.12,Open Ended,2008-06-10,Nifty Financial Services - TRI,96.25,103.82,85.23,-2.04,-7.29,-5.26,7.7,19.52,18.78,14.49,12.51,72.5,26.0,148529.0,61.77,6.57,26.56,Financials,,,,-0.4,0.29,0.41,1.07,17.16,Equity : Sectoral - Financial Services,0.50% on or before 30D Nil after 30D,17.0
Sundaram Flexi Cap Fund-Reg(G),Sudhir Kedia,EQ-FLEX,Unrated,2105.1,2.01,Open Ended,2022-09-06,NIFTY 500 - TRI,14.57,15.26,12.05,-0.09,-4.66,3.49,15.33,20.07,,,,27.3,66.0,220428.0,69.94,13.27,15.34,Financials,,,,6.78,0.85,1.27,0.9,13.28,Equity : Flexi Cap,Nil upto 25% of units and 1% for remaining units on or before 365D Nil after 365D,3.0
Sundaram Focused Fund(G),S. Bharath,EQ-FLEX,4,1118.0,2.25,Open Ended,2005-11-11,NIFTY 500 - TRI,163.05,172.22,133.95,-0.85,-5.31,1.31,17.37,21.18,13.86,18.58,13.45,56.5,29.0,345701.0,82.92,8.39,2.84,Financials,,,,8.64,0.93,1.38,0.95,14.48,Equity : Flexi Cap,0.25% before 7D Nil after 7D,20.0
Sundaram Global Brand Fund(G),Patanjali Srinivasan,FOF-OVR,Unrated,114.8,2.31,Open Ended,2007-08-22,MSCI AC World Index,32.34,32.91,27.91,2.23,3.12,6.61,13.23,21.36,7.58,12.35,8.43,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,8.85,0.91,1.42,0.53,11.22,FoFs : Overseas,Nil upto 25% of units and 1% for remaining units on or before 365D Nil after 365D,18.0
Sundaram Infra Advantage Fund(G),Ashish Aggarwal,EQ-INFRA,3,989.3,2.38,Open Ended,2005-09-29,Nifty Infrastructure - TRI,94.15,100.14,74.64,-0.61,-6.23,-3.66,24.25,32.59,21.9,24.12,14.37,37.7,59.0,112834.0,53.49,15.71,26.0,Capital Goods,,,,14.31,1.02,1.41,1.15,19.7,Equity : Sectoral - Infrastructure,0.50% on or before 30D Nil after 30D,20.0
Sundaram Large and Mid Cap Fund(G),S. Bharath,EQ-L&M,2,6917.8,1.79,Open Ended,2007-02-27,NIFTY LargeMidcap 250 - TRI,86.47,89.63,68.65,0.56,-3.87,2.66,21.39,24.47,15.38,18.36,14.51,39.5,77.0,166127.0,52.71,32.64,9.83,Financials,,,,12.05,1.12,1.62,0.96,15.08,Equity : Large & Mid Cap,Nil upto 25% of units and 1% for remaining units on or before 365D Nil after 365D,18.0
Sundaram Large Cap Fund-Reg(G),Ashwin Jain,EQ-LC,Unrated,3452.3,1.91,Open Ended,2020-10-08,NIFTY 100 - TRI,21.08,22.59,18.32,-0.49,-6.5,0.06,11.48,16.65,12.46,,,28.1,40.0,408754.0,85.89,6.88,0.98,Financials,,,,3.02,0.58,0.86,0.96,13.68,Equity : Large Cap,Nil upto 25% of units and 1% for remaining units on or before 1Y Nil after 1Y,5.0
Sundaram Liquid Fund(G),Dwijendra Srivastava,DT-LIQ,1,6538.8,0.32,Open Ended,2004-08-30,Nifty Liquid Fund Index,2227.33,2227.33,2076.08,0.59,1.73,3.52,7.3,7.13,6.37,5.2,5.28,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.11,0.11,7.11,0.71,9.92,5.39,0.88,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D,21.0
Sundaram Low Duration Fund(G),Sandeep Agarwal,DT-LOWD,2,440.7,1.13,Open Ended,2004-09-14,NIFTY Low Duration Debt Index,3334.98,3334.98,3110.13,0.58,1.63,3.68,7.24,6.84,5.96,5.44,4.46,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.98,0.78,7.59,2.92,8.31,19.83,0.09,0.39,Debt : Low Duration,Nil,21.0
Sundaram LT Micro Cap Tax Adv Fund-Sr III-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,82.3,1.43,Closed Ended,2016-11-18,Nifty Smallcap 100,33.24,35.35,26.41,-0.01,-5.07,-1.16,13.66,29.99,21.16,28.92,,34.0,35.0,14177.0,0.99,6.67,88.53,Financials,,,,6.43,0.62,0.9,0.8,16.83,Equity : Tax Saving (ELSS),,9.0
Sundaram LT Micro Cap Tax Adv Fund-Sr IV-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,38.2,1.44,Closed Ended,2017-03-24,Nifty Smallcap 100,28.8,30.64,22.95,-0.04,-5.19,-1.11,13.56,30.18,21.15,29.24,,34.0,35.0,13908.0,0.97,6.12,89.09,Financials,,,,6.35,0.62,0.9,0.8,16.79,Equity : Tax Saving (ELSS),,8.0
Sundaram LT Micro Cap Tax Adv Fund-Sr V-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,32.8,1.41,Closed Ended,2017-07-05,Nifty Smallcap 100,27.91,29.52,22.01,0.06,-4.62,-0.32,15.16,29.82,20.38,28.95,,34.0,36.0,14049.0,0.86,5.53,89.79,Financials,,,,7.74,0.7,1.02,0.81,16.84,Equity : Tax Saving (ELSS),,8.0
Sundaram LT Micro Cap Tax Adv Fund-Sr VI-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,38.9,1.42,Closed Ended,2017-09-28,Nifty Smallcap 100,26.73,28.21,21.29,0.16,-4.4,0.09,14.43,30.62,21.24,29.48,,34.0,34.0,13189.0,55.18,6.21,92.96,Financials,,,,7.06,0.67,0.97,0.79,16.64,Equity : Tax Saving (ELSS),,8.0
Sundaram LT Tax Adv Fund-Sr I-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,20.0,1.44,Closed Ended,2015-03-26,BSE 500,31.74,33.78,27.65,-1.23,-6.34,-1.77,11.48,16.8,14.25,17.53,,28.0,31.0,395939.0,81.72,12.34,3.28,Financials,,,,3.05,0.56,0.83,0.99,14.3,Equity : Tax Saving (ELSS),,10.0
Sundaram LT Tax Adv Fund-Sr II-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,12.8,1.38,Closed Ended,2016-03-21,BSE 500,34.67,36.83,30.14,-1.41,-6.23,-1.75,11.64,17.02,14.22,17.56,,28.0,32.0,424736.0,83.17,10.92,2.59,Financials,,,,3.12,0.57,0.83,1.01,14.59,Equity : Tax Saving (ELSS),,9.0
Sundaram LT Tax Adv Fund-Sr III-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,36.0,1.41,Closed Ended,2018-03-28,BSE 500,27.9,29.56,22.47,-0.5,-5.41,-1.81,12.36,29.77,21.61,28.56,,28.0,38.0,14567.0,1.12,7.86,90.07,Financials,,,,5.22,0.56,0.82,0.78,16.23,Equity : Tax Saving (ELSS),,7.0
Sundaram LT Tax Adv Fund-Sr IV-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,23.0,1.4,Closed Ended,2018-06-29,BSE 500,32.33,34.16,26.0,-0.4,-5.25,-1.59,12.54,30.06,21.44,28.44,,28.0,38.0,14009.0,1.16,6.46,88.8,Financials,,,,5.37,0.57,0.84,0.78,16.17,Equity : Tax Saving (ELSS),,7.0
Sundaram Medium Duration Fund(G),Dwijendra Srivastava,DT-MD,Unrated,44.4,2.18,Open Ended,1997-12-18,NIFTY Medium Duration Debt Index,66.46,66.5,62.54,0.34,0.91,3.2,6.22,5.79,4.05,4.0,5.48,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,4.91,3.7,7.01,0.4,1.97,3.64,0.56,1.06,Debt : Medium Duration,1% on or before 12M Nil after 12M,28.0
Sundaram Mid Cap Fund-Reg(G),S. Bharath,EQ-MID,1,12425.3,1.73,Open Ended,2002-07-19,Nifty Midcap 150 - TRI,1399.9,1442.27,1038.84,1.62,-3.9,6.88,31.5,36.8,25.3,24.5,15.93,46.8,80.0,60175.0,18.06,61.05,14.96,Financials,,,,21.27,1.61,2.4,0.88,15.98,Equity : Mid Cap,Nil upto 25% of units and 1% for remaining units on or before 365D Nil after 365D,23.0
Sundaram Money Market Fund-Reg(G),Sandeep Agarwal,DT-MM,Unrated,584.3,0.28,Open Ended,2018-09-26,Nifty Money Market Index,14.43,14.43,13.43,0.62,1.78,3.61,7.48,7.26,6.39,5.53,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.39,0.39,7.3,3.35,10.76,22.47,0.03,0.32,Debt : Money Market,Nil,7.0
Sundaram Multi Asset Allocation Fund-Reg(G),Rohit Seksaria,HY-MULTI,Unrated,2442.3,1.86,Open Ended,2024-01-25,NIFTY 500 - TRI,11.33,11.84,10.0,-0.78,-4.73,0.66,11.97,15.99,,,,0.0,56.0,296037.0,55.9,5.82,3.92,Financials,4.52,3.59,6.82,4.33,1.34,2.01,0.88,12.37,Hybrid : Multi Asset Allocation,Nil upto 30% of units and 1% for remaining units on or before 365D Nil after 365D,1.0
Sundaram Multi Cap Fund(G),Sudhir Kedia,EQ-MLC,4,2760.8,1.99,Open Ended,2000-10-25,Nifty500 Multicap 50:25:25 - TRI,379.34,398.6,308.24,0.37,-5.62,1.44,19.61,25.68,16.09,21.13,14.88,67.8,71.0,122713.0,46.16,23.96,25.56,Financials,,,,10.91,1.08,1.56,0.88,14.23,Equity : Multi Cap,Nil upto 25% of units and 1% for remaining units on or before 365D Nil after 365D,25.0
Sundaram Nifty 100 Equal Weight Fund(G),Rohit Seksaria,EQ-INDX,Unrated,97.3,1.04,Open Ended,1999-07-27,Nifty100 Equal Weight - TRI,169.59,189.04,142.0,-2.06,-10.96,-4.05,16.42,23.45,15.74,18.3,11.34,36.1,100.0,200082.0,87.89,10.8,15.24,Financials,,,,7.89,0.82,1.19,0.98,15.67,Equity : Index Funds,Nil,26.0
Sundaram Overnight Fund-Reg(G),Sandeep Agarwal,DT-ON,4,873.9,0.18,Open Ended,2019-03-20,Nifty 1D Rate Index,1328.21,1328.21,1246.34,0.55,1.6,3.22,6.59,6.59,5.92,4.81,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,6.66,0.25,29.74,1.86,0.88,0.01,Debt : Overnight,Nil,6.0
